id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3191,Malleson Garden Cottage,3754,Brigitte,,Ward 57,-33.94739,18.476,Entire home/apt,657,3,46,2019-03-10,0.64,1,324
13044,JAMBO Guest House / Green Room,50700,Barry & Mina,,Ward 115,-33.90771,18.40535,Private room,1301,3,2,2016-02-06,0.02,5,0
15007,Blaauwberg House,59072,Dirk,,Ward 23,-33.80114,18.4618,Entire home/apt,2042,2,26,2019-01-31,0.40,4,336
15068,Grande Bay,59318,Linda,,Ward 23,-33.78799,18.46082,Entire home/apt,2797,4,0,,,13,364
15077,Top relaxed beach living in style ,59342,Georg,,Ward 4,-33.85878,18.4897,Entire home/apt,1343,6,5,2016-12-10,0.07,5,347
15180,The Melkbaai - Beachfront,59663,Heinri,,Ward 83,-34.11124,18.82349,Entire home/apt,559,2,0,,,1,365
15199,Self catering apartment,59694,Alexa,,Ward 115,-33.91044,18.41239,Entire home/apt,124994,14,2,2016-04-15,0.03,1,365
15285,Waterford Guest House,59964,Chris+Alison,,Ward 71,-34.03863,18.43128,Entire home/apt,895,2,6,2018-01-02,0.07,3,319
15331,Mountview Accommodation,60058,Francis,,Ward 60,-33.97069,18.49697,Entire home/apt,573,2,3,2014-01-13,0.03,1,180
15354,"Aurora Self Catering Units, Durbanville, Cape Town",60196,I,,Ward 112,-33.82924,18.63144,Entire home/apt,643,3,1,2018-01-01,0.06,1,364
15480,In hip designer district of Cape T.,60443,Jean,,Ward 115,-33.92941,18.42277,Entire home/apt,601,30,13,2017-02-27,0.12,1,300
15704,Hollywood Mansion & Spa Camps Bay with Butler,61441,Kevin,,Ward 54,-33.96462,18.37595,Entire home/apt,17900,4,1,2017-11-14,0.06,4,353
16259,Chambery - luxury self catering,63255,Cheryl,,Ward 59,-33.99463,18.46505,Entire home/apt,1245,2,6,2016-12-31,0.10,3,258
17270,VILLA CARRARA W SELF-CATERING-VIEWS,66986,Henri,,Ward 115,-33.91073,18.40866,Entire home/apt,797,3,131,2019-03-31,1.23,2,324
18499,Rooms in Halaal Villa Cape Town De Tijger,71221,Abe,,Ward 2,-33.88856,18.59054,Private room,699,7,0,,,1,364
18974,Upmarket Room,72598,Hanlie,,Ward 70,-33.86889,18.60141,Private room,1133,1,0,,,1,365
19271,Largo House self catering suite,73439,Beverley,,Ward 59,-33.97905,18.45676,Private room,615,2,37,2019-03-03,0.42,3,338
19384,Room with a view under Table Mountain.,73764,Ingrid,,Ward 77,-33.92667,18.40623,Private room,797,1,4,2017-12-02,0.17,1,0
19398,Apartments on the Beach,73779,Roger,,Ward 23,-33.73046,18.43966,Entire home/apt,4699,5,0,,,1,364
19561,Apartment in Durbanville,74188,Cherry,,Ward 103,-33.84192,18.67661,Private room,2797,2,0,,,1,364
19658,Private Room,74504,Ricardo,,Ward 5,-33.87058,18.53464,Private room,1398,7,0,,,1,365
19725,Apartment overlooking Simonstown Yacht Basin,59616,Dennis,,Ward 61,-34.19571,18.43174,Entire home/apt,797,2,15,2018-10-05,0.38,1,344
19811,MARINA VIEWS,74863,Nigel,,Ward 64,-34.08428,18.47585,Entire home/apt,4000,14,0,,,1,365
20125,Double Bedr0om to Rent,76161,Debbie,,Ward 73,-34.02811,18.48246,Private room,1217,1,0,,,1,364
20263,Villa Honeywood Five Star Self Catering Villa,837661,Daniel,,Ward 64,-34.13572,18.42007,Entire home/apt,5999,3,0,,,2,363
20327,"Annie, Private Room 4 2",76740,Annemarie,,Ward 3,-33.88183,18.67086,Private room,1398,1,0,,,1,364
20670,ROOM TO LET,78185,Gill,,Ward 64,-34.09117,18.48396,Private room,1049,3,0,,,1,364
20819,World Cup Football Cape Town ,78859,Amanda,,Ward 62,-34.02452,18.42022,Private room,2377,3,0,,,1,364
21097,Rooms in Family Home.,80295,Ray,,Ward 1,-33.87914,18.58121,Shared room,699,1,0,,,1,365
21800,Sunny private bedroom with own entrance,74121,Marianne,,Ward 15,-34.05091,18.83483,Private room,378,1,10,2019-02-03,1.09,1,83
22994,Heritage Home in Cape Town suburbs,89107,Sandra,,Ward 58,-33.95733,18.4881,Entire home/apt,1119,5,12,2019-01-06,0.11,2,45
23175,Avocet Cape Town Villa - Rooms/B&B,79694,Harriet,,Ward 113,-33.83242,18.49489,Private room,503,1,1,2019-01-01,0.28,8,365
23349,cape town 2010 private room,91246,Cathy,,Ward 55,-33.91281,18.4823,Private room,699,2,0,,,2,365
23350,african  2010 villa in cape town,91246,Cathy,,Ward 55,-33.91475,18.48384,Entire home/apt,1818,3,0,,,2,365
24670,The Original Majestic Apartment - Kalk Bay,100431,Grant,,Ward 64,-34.12549,18.44792,Entire home/apt,1496,4,10,2018-12-06,0.27,2,248
25122,Walk to Green Point Stadium!,104107,Stephanie,,Ward 54,-33.91261,18.39363,Entire home/apt,7650,7,0,,,1,364
26828,world cup accomodation,114410,Stef,,Ward 57,-33.93596,18.46945,Entire home/apt,6293,1,0,,,1,365
28702,Waterford-Paddaplek Self Catering,59964,Chris+Alison,,Ward 71,-34.03765,18.43083,Entire home/apt,699,2,0,,,3,320
28707,Waterford-Sunbird  B&B Suite,59964,Chris+Alison,,Ward 71,-34.03644,18.431,Entire home/apt,1007,2,4,2019-01-05,0.05,3,320
31359,"Halaal Accommodation in Parow North, Cape Town",134594,Abe (S.A.),,Ward 21,-33.84986,18.66582,Private room,685,2,0,,,8,364
32191,nice garden apartment 15km > stadiu,138928,Hoosain,,Ward 58,-33.96421,18.48952,Private room,769,1,0,,,1,364
36347,"Cosy, Downtown Loft with Mountain Views over Rooftop Deck",156196,Alan,,Ward 115,-33.92383,18.42201,Entire home/apt,1384,1,214,2019-04-07,3.53,21,298
36483,Large Furnishished Studio-Suite,156910,Dave,,Ward 107,-33.8212,18.48323,Private room,545,1,36,2019-02-23,0.40,3,365
36485,Ocean Blue Guest House,156910,Dave,,Ward 107,-33.81849,18.48452,Private room,545,1,26,2017-02-06,0.26,3,365
36499,Furnished Garden Cottage For Rent,156910,Dave,,Ward 107,-33.81933,18.48403,Entire home/apt,545,3,29,2018-03-25,0.31,3,365
44334,Purple House on Jarvis B&B,194391,Guido & Henk,,Ward 115,-33.91411,18.41585,Private room,1398,1,23,2016-07-18,0.26,4,280
49289,Your Apartment in Cape Town,224616,Marco,,Ward 54,-33.91445,18.40076,Entire home/apt,2000,5,134,2019-03-31,1.36,3,225
54153,MODERN 2 BEDROOM APT IN CAPE TOWN,253565,Jared,,Ward 115,-33.91124,18.41137,Entire home/apt,1538,2,14,2016-05-15,0.16,1,229
54730,Huge Bright Sunny 3 Bedroom 2 Bathroom in Fresnaye,253705,Michael,,Ward 54,-33.9216,18.38895,Entire home/apt,867,365,0,,,1,365
59616,Drafstap Cottage,286547,Marita,,Ward 105,-33.82288,18.73171,Entire home/apt,895,2,0,,,1,178
60296,Apartment Cape Town,290396,Patrick,,Ward 77,-33.94027,18.41844,Entire home/apt,1203,2,56,2019-02-27,1.00,1,332
67439,Devil's Peak -  Separate Apartment,328952,Angela,,Ward 77,-33.93478,18.42704,Entire home/apt,489,3,56,2019-02-24,0.61,1,297
82212,Perfect Beachfront Apartment,404176,Gayle,,Ward 54,-33.91728,18.38699,Entire home/apt,1706,3,28,2018-02-09,0.30,3,231
96036,Unique Town House -Green Point,510489,Christan,,Ward 115,-33.91113,18.40864,Entire home/apt,2405,2,14,2019-01-10,0.16,1,122
97100,Cape Cottage,512746,Revere,,Ward 70,-33.88279,18.62065,Private room,895,3,0,,,1,365
101292,ChicShak Self Catering Accommodation in Muizenberg,531026,Carey,,Ward 64,-34.10314,18.47446,Entire home/apt,406,1,12,2019-03-22,0.16,1,362
103507,The Lions Guest House - The Lion Room,539579,Antony,,Ward 77,-33.93326,18.40511,Private room,1608,2,43,2019-01-01,0.46,9,282
106673,4 Omega. Walk to the beach for Surf & Sun,552892,Mike,,Ward 23,-33.80488,18.46716,Entire home/apt,811,2,19,2019-03-11,0.37,1,179
114218,Mid-century House with Breathtaking Views,579839,Oliver,,Ward 77,-33.93903,18.39973,Entire home/apt,6293,5,16,2019-03-24,0.18,1,38
120080,Green Elephant Backpackers Dorm Bed,604948,Howard,,Ward 57,-33.93837,18.46609,Shared room,182,1,32,2019-03-27,0.35,6,361
123012,The Studio,615652,Doreen,,Ward 115,-33.93142,18.40742,Entire home/apt,1804,1,33,2018-09-02,0.37,6,365
123076,GARDEN COTTAGE,615652,Doreen,,Ward 77,-33.93243,18.40678,Entire home/apt,2797,1,16,2017-09-24,0.17,6,364
133339,Constantia Villa - Cape Town,654987,Alice,,Ward 77,-33.93541,18.40407,Private room,727,3,85,2019-02-27,0.91,3,321
141734,Windermere Quinns Holiday Home,689156,Sylvia & Dieter,,Ward 84,-34.07609,18.8814,Private room,713,6,1,2014-08-12,0.02,1,363
